parametro,id4cast
p1,0.55383836
p1,0.533825373
p1,0.520632516
p1,0.52426226
p1,0.520048247
p1,0.532670663
p1,0.529527423
p1,0.51674922
p1,0.053480732
p1,0.533576438
p1,0.532291139
p1,0.526370516
p1,0.517694185
p1,0.536227622
p1,0.052376191
p1,0.053904166
p1,0.538913855
p1,0.515683575
p1,0.53133012
p1,0.511431704
p1,0.528730518
p1,0.529771664
p1,0.535754989
p1,0.534525248
p1,0.526051609
p1,0.524428643
p1,0.534633226
p1,0.540407322
p1,0.051682183
p1,0.524141813
p1,0.525250062
p1,0.530416496
p1,0.54347682
p1,0.514346264
p1,0.529922949
p1,0.532222743
p1,0.514841241
p1,0.537252585
p1,0.518550839
p1,0.536711967
p1,0.516103736
p1,0.530359361
p1,0.52125781
p1,0.543820966
p1,0.52694251
p1,0.535174859
p1,0.53560782
p1,0.520930771
p1,0.546258453
p1,0.536381606
p1,0.525994174
p1,0.514926288
p1,0.524769525
p1,0.525667846
p1,0.52424618
p1,0.539701937
p1,0.051653561
p1,0.525786951
p1,0.005170948
p1,0.530435491
p1,0.545564072
p1,0.053372835
p1,0.530911206
p1,0.513953507
p1,0.525955893
p1,0.535625204
p1,0.548588372
p1,0.541753432
p1,0.539356259
p1,0.537402639
p1,0.522829368
p1,0.518742862
p1,0.524852278
p1,0.525842845
p1,0.541266408
p1,0.532635802
p1,0.533841903
p1,0.518363176
p1,0.51232302
p1,0.541185178
p1,0.524629584
p1,0.536072108
p1,0.054723017
p1,0.053961014
p1,0.536644026
p1,0.527055961
p1,0.524786983
p1,0.522843514
p1,0.530036892
p1,0.536076013
p1,0.524847471
p1,0.52179302
p1,0.545478859
p1,0.513288183
p1,0.53548974
p1,0.531165895
p1,0.005240359
p1,0.5443271
p1,0.538027374
p1,0.534892624
p1,0.515949657
p1,0.537102526
p1,0.539337728
p1,0.539914541
p1,0.532838
p1,0.542507054
p1,0.524180971
p1,0.527690974
p1,0.053663846
p1,0.529630479
p1,0.532862644
p1,0.54314087
p1,0.537578306
p1,0.541765478
p1,0.52949245
p1,0.545691816
p1,0.52338323
p1,0.5482094
p1,0.525022204
p1,0.528553442
p1,0.527282137
p1,0.540149885
p1,0.526745009
p1,0.527668688
p1,0.536219449
p1,0.05217036
p1,0.517825275
p1,0.537599628
p1,0.538483242
p1,0.532750591
p1,0.527700039
p1,0.52242706
p1,0.535528722
p1,0.5397657
p1,0.524440098
p1,0.52863159
p1,0.538776929
p1,0.521123633
p1,0.52265526
p1,0.523213285
p1,0.524632404
p1,0.529514351
p1,0.543650896
p1,0.540838265
p1,0.531211444
p1,0.524538266
p1,0.533387498
p1,0.528765834
p1,0.530947607
p1,0.548358313
p1,0.543415393
p1,0.523764363
p1,0.529363848
p1,0.531917049
p1,0.542148381
p1,0.530493512
p1,0.529683222
p1,0.539255376
p1,0.050940945
p1,0.052866569
p1,0.537835648
p1,0.548519622
p1,0.054056373
p1,0.005346775
p1,0.519856921
p1,0.52932303
p1,0.053865103
p1,0.517094793
p1,0.525781654
